epoch,train_loss,train_acc_clean,val_loss_raw,val_acc_raw,val_loss_ema,val_acc_ema,lr,epoch_time_sec
17,3.22766351852417,22.388,2.063626124572754,51.49,2.000738685417175,51.95,0.0003949342394124856,272.43881392478943
18,3.19185403213501,26.742,2.0366467596054076,51.54,1.9554407711029054,53.14,0.0003941883634852104,275.82578110694885
19,3.1777910013580324,23.428,1.9453396928787232,54.17,1.9614749082565308,52.5,0.0003933920859570753,273.7183630466461
20,3.094800316848755,26.478,1.9327337619781495,54.62,1.8663968252182006,56.13,0.00039254561350195817,277.6661162376404
21,3.0971920686340333,26.996,1.9646728536605835,53.64,1.8712123706817627,55.79,0.00039164916582183325,279.97510290145874
22,3.0772971231079103,26.552,1.8533508241653442,56.16,1.8241115226745606,56.52,0.00039070297558974727,272.7114267349243
23,3.0535647185516357,26.406,1.8444510551452638,56.64,1.8192936264038087,57.16,0.0003897072883894291,276.256471157074
24,2.976858254852295,28.214,1.7963048917770386,57.8,1.7963765306472779,57.45,0.0003886623626515486,277.10063099861145
25,2.993408029174805,29.3,1.825768634033203,57.39,1.7485796449661255,58.79,0.0003875684695866409,276.4725670814514
26,2.891213274230957,32.22,1.7870827836990357,58.1,1.7166375452041627,59.62,0.0003864258931147136,276.376158952713
27,2.940206926727295,27.75,1.8197383777618408,57.78,1.7343711687088013,59.14,0.0003852349297915553,277.0608901977539
28,2.9758349710083007,30.354,1.8166945230484008,57.05,1.8290893690109253,56.91,0.00038399588873176487,277.45099425315857
29,2.944879471130371,31.0,1.7224793920516968,60.18,1.655247664642334,61.21,0.0003827090915285202,276.054651260376
30,2.922445947723389,28.872,1.7643558444976806,58.87,1.804081602859497,57.35,0.0003813748721701091,277.2408378124237
31,2.8605941201400755,30.176,1.6429301092147828,61.75,1.6916658281326293,60.42,0.0003799935769532424,276.9940731525421
32,2.884247929496765,32.014,1.6353349548339844,61.93,1.7272810331344604,59.31,0.00037856556439317285,279.54731488227844
33,2.7901142788696287,32.36,1.673266237449646,61.51,1.6104128421783448,62.32,0.000377091205130642,275.2418370246887
34,2.844608318862915,31.614,1.699485934829712,61.19,1.6326750900268554,62.1,0.00037557088183568096,275.4350609779358
35,2.8506625352478028,30.666,1.6129612197875978,62.76,1.5586113647460937,63.55,0.0003740049891082879,277.142550945282
36,2.830311157989502,32.488,1.6221269060134889,62.45,1.592511847114563,63.42,0.00037239393337600983,274.8079490661621
37,2.7855435691833494,31.692,1.5730648056030274,64.59,1.6204225574493407,62.24,0.0003707381327884545,277.783166885376
38,2.757737092514038,33.024,1.5279634265899658,64.45,1.5666284036636353,63.57,0.000369038017108759,274.96349811553955
39,2.7574547578430177,32.152,1.6124594984054565,63.54,1.5362746112823487,63.94,0.0003672940276020453,277.607275724411
40,2.763740076904297,33.734,1.5903334329605103,63.8,1.5767493606567382,63.59,0.00036550661692089,277.56425380706787
41,2.7841765217590333,35.134,1.5452468196868896,64.74,1.5001201503753663,65.23,0.0003636762489878374,254.29303288459778
42,2.713716907653809,34.914,1.5473074392318726,64.77,1.4839399324417115,66.06,0.0003618033988749895,253.3871853351593
43,2.7015871140289307,34.012,1.5204868398666382,65.76,1.4764049938201904,65.94,0.0003598885526807003,256.33504605293274
44,2.641792592544556,35.54,1.5268781335830688,64.69,1.538815744972229,64.6,0.000357932207403409,250.8660979270935
45,2.7344066795349122,32.398,1.5051883419036864,66.0,1.4838018306732177,66.13,0.00035593487081264446,253.26777601242065
46,2.7181215060043336,35.044,1.4940804014205933,65.82,1.4924133558273316,65.76,0.00035389706131723324,254.22301292419434
47,2.5625896362304688,37.986,1.4936170602798462,65.53,1.4880570400238038,65.91,0.0003518193078307463,254.727441072464
48,2.6395119747924807,36.288,1.4775851947784424,66.21,1.4292221307754516,67.13,0.00034970214963422024,256.05975794792175
49,2.6414728354644774,37.268,1.526637991142273,65.39,1.4151045623779297,67.94,0.0003475461362361861,254.9404809474945
50,2.591978641204834,36.048,1.5361824529647827,65.05,1.4382957481384278,67.07,0.00034535182723004464,255.4106090068817
51,2.6389279179382323,36.038,1.4825025817871094,66.25,1.4622284870147706,66.51,0.00034311979214882426,255.23329305648804
52,2.5837231201171873,36.2,1.4582957750320436,66.95,1.435733224105835,67.3,0.0003408506103173579,254.48930311203003
53,2.5599073527526857,37.184,1.469507555770874,66.53,1.4243704048156738,67.43,0.00033854487070191994,255.54307007789612
